slug,path,h1,title,category,brand,source
"asus-rog-strix-g18","/รับซื้อ-asus-rog-strix-g18-ขอนแก่น/","รับซื้อ ASUS ROG Strix G18 ขอนแก่น","รับซื้อ ASUS ROG Strix G18 ขอนแก่น เช็กรหัส G814/G815 GPU และจอ | WINNER IT","notebook","asus","https://rog.asus.com/laptops/rog-strix/rog-strix-g18-2025/spec/"
"asus-tuf-gaming-a14","/รับซื้อ-asus-tuf-gaming-a14-ขอนแก่น/","รับซื้อ ASUS TUF Gaming A14 ขอนแก่น","รับซื้อ ASUS TUF Gaming A14 ขอนแก่น เช็ก FA401 GPU จอ 165Hz และ RAM | WINNER IT","notebook","asus","https://www.asus.com/th/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a14-2025/techspec/"
"asus-tuf-gaming-a16","/รับซื้อ-asus-tuf-gaming-a16-ขอนแก่น/","รับซื้อ ASUS TUF Gaming A16 ขอนแก่น","รับซื้อ ASUS TUF Gaming A16 ขอนแก่น เช็ก FA608 GPU จอ 144/165Hz | WINNER IT","notebook","asus","https://www.asus.com/th/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a16-2025/techspec/"
"lenovo-thinkpad-t14","/รับซื้อ-lenovo-thinkpad-t14-ขอนแก่น/","รับซื้อ Lenovo ThinkPad T14 ขอนแก่น","รับซื้อ Lenovo ThinkPad T14 ขอนแก่น เช็ก Gen Type vPro WWAN และสภาพ | WINNER IT","notebook","lenovo","https://psref.lenovo.com/syspool/Sys/PDF/ThinkPad/ThinkPad_T14_Gen_5_Intel/ThinkPad_T14_Gen_5_Intel_Spec.PDF"
"lenovo-thinkpad-x1-carbon","/รับซื้อ-lenovo-thinkpad-x1-carbon-ขอนแก่น/","รับซื้อ Lenovo ThinkPad X1 Carbon ขอนแก่น","รับซื้อ Lenovo ThinkPad X1 Carbon ขอนแก่น เช็ก Gen จอ RAM WWAN | WINNER IT","notebook","lenovo","https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/len101t0083/len101t0083"
"acer-nitro-5","/รับซื้อ-acer-nitro-5-ขอนแก่น/","รับซื้อ Acer Nitro 5 ขอนแก่น","รับซื้อ Acer Nitro 5 ขอนแก่น เช็ก AN515 CPU GPU จอและอะแดปเตอร์ | WINNER IT","notebook","acer","https://www.acer.com/us-en/laptops/nitro/nitro-5/pdp/NH.QM0AA.002"
"hp-omen-16","/รับซื้อ-hp-omen-16-ขอนแก่น/","รับซื้อ HP Omen 16 ขอนแก่น","รับซื้อ HP OMEN 16 ขอนแก่น เช็กรหัส 16-xxxx CPU GPU จอและประกัน | WINNER IT","notebook","hp","https://support.hp.com/us-en/document/ish_12515572-12516081-16"
"dell-g15","/รับซื้อ-dell-g15-ขอนแก่น/","รับซื้อ Dell G15 ขอนแก่น","รับซื้อ Dell G15 ขอนแก่น เช็ก Service Tag GPU จอ 120/165/240Hz | WINNER IT","notebook","dell","https://www.dell.com/support/manuals/en-us/g-series-15-5530-laptop/dell-g15-5530-owners-manual/display?guid=guid-26c53099-b0c1-4576-8a59-ed18f006f455"
"msi-katana-15","/รับซื้อ-msi-katana-15-ขอนแก่น/","รับซื้อ MSI Katana 15 ขอนแก่น","รับซื้อ MSI Katana 15 ขอนแก่น เช็ก B12/B13 GPU TGP จอและอะแดปเตอร์ | WINNER IT","notebook","msi","https://www.msi.com/Laptop/Katana-15-B12VX/Specification"
"macbook-pro-13-m1","/รับซื้อ-macbook-pro-13-m1-ขอนแก่น/","รับซื้อ MacBook Pro 13 M1 ขอนแก่น","รับซื้อ MacBook Pro 13 M1 ขอนแก่น เช็ก RAM SSD แบต Touch Bar | WINNER IT","macbook","","https://support.apple.com/en-us/111893"
