slug,path,categories,h1,title,sources
"company-laptop-lot","/รับซื้อโน้ตบุ๊กบริษัท-ขอนแก่น/","bulk-buyout|notebook","รับซื้อโน้ตบุ๊กบริษัทเป็นล็อต ขอนแก่น","รับซื้อโน้ตบุ๊กบริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://learn.microsoft.com/th-th/autopilot/registration-overview|https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"company-desktop-lot","/รับซื้อคอมบริษัท-ขอนแก่น/","bulk-buyout|computer","รับซื้อคอมบริษัทเป็นล็อต ขอนแก่น","รับซื้อคอมบริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://learn.microsoft.com/th-th/autopilot/registration-overview|https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"company-monitor-lot","/รับซื้อจอคอมบริษัท-ขอนแก่น/","bulk-buyout|monitor","รับซื้อจอคอมบริษัทเป็นล็อต ขอนแก่น","รับซื้อจอคอมบริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://www.dell.com/support/kbdoc/en-us/000126004/dell-display-pixel-guidelines"
"office-it-clearance","/เคลียร์อุปกรณ์ไอทีสำนักงาน-ขอนแก่น/","bulk-buyout|computer|monitor","เคลียร์อุปกรณ์ไอทีสำนักงาน ขอนแก่น","เคลียร์อุปกรณ์ไอทีสำนักงาน ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"office-relocation-it","/รับซื้ออุปกรณ์ไอทีก่อนย้ายออฟฟิศ-ขอนแก่น/","bulk-buyout|computer|monitor","รับซื้ออุปกรณ์ไอทีก่อนย้ายออฟฟิศ ขอนแก่น","รับซื้ออุปกรณ์ไอทีก่อนย้ายออฟฟิศ ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"business-closure-it","/รับซื้อทรัพย์สินไอทีปิดกิจการ-ขอนแก่น/","bulk-buyout|computer","รับซื้อทรัพย์สินไอทีกรณีปิดกิจการ ขอนแก่น","รับซื้อทรัพย์สินไอทีกรณีปิดกิจการ ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"school-computer-lot","/รับซื้อคอมโรงเรียนยกล็อต-ขอนแก่น/","bulk-buyout|computer","รับซื้อคอมโรงเรียนเป็นล็อต ขอนแก่น","รับซื้อคอมโรงเรียนเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"university-device-lot","/รับซื้ออุปกรณ์ไอทีมหาวิทยาลัย-ขอนแก่น/","bulk-buyout|computer|notebook|ipad-tablet","รับซื้ออุปกรณ์ไอทีมหาวิทยาลัย ขอนแก่น","รับซื้ออุปกรณ์ไอทีมหาวิทยาลัย ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final|https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"gaming-cafe-pc-lot","/รับซื้อคอมร้านเกมยกล็อต-ขอนแก่น/","bulk-buyout|computer|gpu|monitor","รับซื้อคอมร้านเกมยกล็อต ขอนแก่น","รับซื้อคอมร้านเกมยกล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"internet-cafe-equipment","/รับซื้ออุปกรณ์ร้านอินเทอร์เน็ต-ขอนแก่น/","bulk-buyout|computer|monitor","รับซื้ออุปกรณ์ร้านอินเทอร์เน็ต ขอนแก่น","รับซื้ออุปกรณ์ร้านอินเทอร์เน็ต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
